theta1,theta2,omega1,omega2,alpha1,alpha2
-0.025472387694570255,0.6388430819502822,0.40749092650328134,2.822394013421532,7.275333038793432,-11.994228740591128
-0.015907833005898812,0.6929038446108449,0.5469249005560297,2.5842650290330584,6.663055088994025,-11.819194993765866
-0.0036785044314556568,0.7422364589698196,0.6739206932950055,2.3495357068394966,6.036505806819497,-11.657235603820657
0.010965762277984528,0.7869053740891191,0.7884506081618338,2.117816472189867,5.419555563684639,-11.518901383302232
0.027778678652325504,0.8269659144856228,0.890867374555846,1.8886176693255057,4.82715696383659,-11.404769431880961
0.0465236035935228,0.8624638772735943,0.9817653765430736,1.661491995522405,4.268970903738959,-11.310680047433754
0.06697747430552409,0.8934370980278731,1.061897213666379,1.4360964142401713,3.7514019900354003,-11.230728769306948
0.08893340336268564,0.9199177598402892,1.1321205754258017,1.2122091533709458,3.278679254084016,-11.158879730221452
0.1122023875106654,0.9419347824779001,1.1933607047587345,0.9897235131749789,2.8533857161225455,-11.089739669096263
0.13661434782264922,0.959515971625179,1.246580025397122,0.7686318052209185,2.4766742521905356,-11.018810101066329
0.16201859177843939,0.9726898214752507,1.2927500916812387,0.5490078898799342,2.148298766155726,-10.942396844055374
0.1882837116896807,0.9814870037627665,1.3328228585412298,0.33099410889121494,1.8665208039140906,-10.857271643436963
0.21529688263197796,0.9859416772233645,1.367699002175453,0.11479708127535396,1.6279080456512287,-10.760127927267067
0.24296247889211633,0.9860928349305065,1.3981910547701255,-0.0993036466033197,1.4270138145888416,-10.646838938507113
0.2711998798680996,0.9819859866619975,1.4249787358825945,-0.31093005335874924,1.2559126128304832,-10.511507212170432
0.29994027881033497,0.9736755569587872,1.448553349317002,-0.5195588883636614,1.1035685769797863,-10.345293904596835
0.3291222418733388,0.9612284665355714,1.469147880863704,-0.7244494331326543,0.9550425405105201,-10.135050300961717
0.358685702900252,0.9447294406517384,1.4866502152127483,-0.9245427894109931,0.7906208931332418,-9.861872243654847
0.38856405330598526,0.9242886120430436,1.5004999781103816,-1.1183339780585417,0.5851085007156724,-9.499906614592733
0.4186740611187949,0.9000518731315965,1.5095768719501785,-1.3037280562070095,0.30779968599649365,-9.016100356966668
0.44890363701656155,0.8722140384087445,1.512102233888278,-1.477910059628329,-0.07599211322691204,-8.372073141057793
0.4790980993258646,0.8410340142000748,1.5055964628313425,-1.637286612839757,-0.6006752793071684,-7.529681024352312
0.5090466752968338,0.8068497057232669,1.486957387858561,-1.7775869476002375,-1.2924635143354246,-6.461497154727101
0.5384723911977519,0.7700884900342863,1.4527311524507467,-1.8942190352393293,-2.1583359569503004,-5.165430889198029
0.5670296523968981,0.731267565527604,1.3996091445308236,-1.9829236171619788,-3.1753400850576234,-3.6787089581768817
0.5943135718073328,0.6909788864270914,1.3250835101240506,-2.0406305731436185,-4.286613142554708,-2.0825235739344543
0.6198824319768602,0.6498570997367301,1.2280635736404473,-2.0662456983924646,-5.409860919641597,-0.48965766714806136
0.6432899060255436,0.608535400876604,1.1091962268071636,-2.061019708586292,-6.457605838029919,0.9836587046225691
0.6641192545851686,0.5676001212296242,0.9707341409629506,-2.0282958978169114,-7.360161059436704,2.2489689965760835
0.6820107090706179,0.527555985926913,0.8160147801696688,-1.9727369797363739,-8.080005085818328,3.2643198924722574
0.6966764626111048,0.4888093094372469,0.6487872371567152,-1.89936762625672,-8.612582627364558,4.033974097513175
0.7079028168408713,0.451669209661332,0.47263427847800576,-1.8127756254843135,-8.977083760669428,4.594414932017544
0.7155429218266176,0.4163615972644756,0.2906192461845616,-1.7166452653199598,-9.204330924589232,4.996731117644372
0.7195047757308763,0.3830491413692627,0.10515730041365023,-1.613614177399894,-9.327029344212988,5.292664633909436
0.7197383301226048,0.3518517013599994,-0.08195880456833776,-1.505350202424464,-9.374095808771171,5.526583013983884
0.716223994599948,0.32286397447054116,-0.26945599871659154,-1.3927366159300352,-9.368425538346704,5.732361539314618
0.7089634816034236,0.2961690431191808,-0.45645648651569015,-1.27608718785587,-9.326727958326806,5.933190403030195
0.6979730969279483,0.2718476883378961,-0.6423605466201592,-1.155350355251659,-9.26025029956589,6.142628669093177
0.6832792113493713,0.24998385618671015,-0.826746077241856,-1.0302890912836142,-9.175637130511817,6.365854412872154
0.6649155825105304,0.23066675958146177,-1.0092831544331426,-0.9006386438574726,-9.075527658504546,6.600568407220186
0.6429222940686687,0.2139899693726835,-1.189656263060863,-0.7662518162264733,-8.958706598706634,6.83731291315889
0.617346254063199,0.20004761966058443,-1.3674844206704784,-0.6272444710473734,-8.819737035559134,7.059126399946593
0.588243399309719,0.1889275900701114,-1.5422287400842558,-0.48415444381471534,-8.6480787509442,7.240562368896716
0.5556829550457236,0.18070127829019078,-1.7130779992737206,-0.3381251036579551,-8.426802240199287,7.346255663955742
0.5197542537649834,0.1754094053566651,-1.8788068973509153,-0.1911183641837492,-8.131224213236763,7.329532251816697
0.48057663530880107,0.17304333262553617,-2.0376118356898427,-0.04614678453835641,-7.728190196312085,7.1321324183295784
0.43831267128033974,0.17352184331613607,-2.186949251481504,0.09251505293948631,-7.177321344316105,6.686953884265647
0.39318415134266005,0.17666457664898214,-2.3234338408235433,0.21922605974134152,-6.4360902047431185,5.926467613326457
0.34548874199413687,0.18216556239341872,-2.4428912705864647,0.3271195003541142,-5.470366784825622,4.799057926861364
0.29561311072122376,0.1895733683404794,-2.5406753254776326,0.40864646335153526,-4.269910350450314,3.292314414284817
0.24403648815346926,0.19828692342828805,-2.6123063273439553,0.45659747286381847,-2.8636964953069812,1.4556174278323273
0.19131887135271788,0.2075755597982994,-2.654336045617025,0.46545336672161963,-1.3254695144426054,-0.5921082651011746
0.13807194461453304,0.21662594182438616,-2.6651512783577034,0.4326340805563729,0.2386974157156734,-2.6814480615507685
0.08491762973662975,0.22460835549444874,-2.6453546436686115,0.35910739901398336,1.7187359766893722,-4.635239879225586
0.03244510352942942,0.23074598732814658,-2.5975310463616625,0.2490690424406852,3.0307538972449932,-6.314405567923757
-0.018822195407197477,0.2343696656001744,-2.5255274436971358,0.10887411949369269,4.1335989044823975,-7.644104487660973
-0.06844310631803405,0.23494785200954577,-2.4335887994426755,-0.05427941594557378,5.027009544728026,-8.612791132422629
